Vertex data: 
POSITION - TEXTURE - NORMALS
0.989257, 1.39833, -2.55164 | 0.311864, 0.751165 | 0.9948, 0.0168, 0.1005 
0.989244, 1.40981, -2.54894 | 0.311542, 0.751974 | 0.9919, -0.0762, 0.1015 
0.989244, 1.41172, -2.55157 | 0.311303, 0.751978 | 1, 0.0009, 0.0007 
0.989244, 1.41172, -2.55157 | 0.311303, 0.751978 | 1, 0.0007, 0.0003 
0.989257, 1.3978, -2.55495 | 0.311688, 0.750993 | 1, 0.0009, -0.0001 
0.989244, 1.40981, -2.54894 | 0.311542, 0.751974 | 0.9919, -0.0762, 0.1016 
0.989232, 1.41924, -2.53939 | 0.311716, 0.752951 | 1, 0.0002, 0.0005 
0.989244, 1.41172, -2.55157 | 0.311303, 0.751978 | 1, 0.0008, 0.0006 
1.08187, 1.39833, -2.55164 | 0.749651, 0.395105 | -0.9948, 0.0156, 0.1006 
1.08188, 1.38788, -2.5442 | 0.750543, 0.395423 | -0.9945, 0.0843, 0.0618 
1.08188, 1.38525, -2.54611 | 0.750539, 0.395663 | -1, -0.0001, 0.0002 
1.08187, 1.39833, -2.55164 | 0.749651, 0.395105 | -0.9948, 0.0155, 0.1004 
1.08188, 1.38525, -2.54611 | 0.750539, 0.395663 | -1, -0, -0.0001 
1.08187, 1.3978, -2.55495 | 0.749473, 0.395277 | -1, -0.0003, 0.0001 
1.08188, 1.38788, -2.5442 | 0.750543, 0.395423 | -0.9945, 0.0845, 0.0613 
1.08187, 1.38404, -2.53197 | 0.751447, 0.395137 | -0.9948, 0.1003, -0.0163 
1.08187, 1.38074, -2.53144 | 0.751619, 0.395315 | -1, -0.0001, -0.0005 
0.989257, 1.38405, -2.53197 | 0.313645, 0.751139 | 0.9948, 0.1008, -0.0151 
0.989261, 1.38525, -2.54611 | 0.312747, 0.75061 | 1, 0.0001, -0 
0.989257, 1.38074, -2.53144 | 0.313816, 0.750961 | 1, 0, 0.0003 
0.989261, 1.38789, -2.5442 | 0.31275, 0.75085 | 0.9945, 0.0848, 0.0616 
0.989257, 1.39833, -2.55164 | 0.311864, 0.751165 | 0.9948, 0.0163, 0.1006 
0.989257, 1.3978, -2.55495 | 0.311688, 0.750993 | 1, 0.0004, -0.0001 
0.989257, 1.3978, -2.55495 | 0.311688, 0.750993 | 1, 0.0002, -0.0003 
0.989261, 1.38525, -2.54611 | 0.312747, 0.75061 | 1, 0.0002, -0.0003 
0.989232, 1.40165, -2.51919 | 0.313668, 0.752747 | 0.9897, -0.0276, -0.1406 
0.989244, 1.39017, -2.52189 | 0.313991, 0.751938 | 0.9919, 0.073, -0.1039 
0.989244, 1.38826, -2.51925 | 0.314229, 0.751934 | 1, 0.0007, 0.0005 
0.989244, 1.38826, -2.51925 | 0.314229, 0.751934 | 1, 0.0007, 0.0004 
0.989232, 1.40217, -2.51588 | 0.313844, 0.752919 | 1, 0.0006, -0 
0.989257, 1.38074, -2.53144 | 0.313816, 0.750961 | 1, 0.0002, 0.0005 
0.989244, 1.38826, -2.51925 | 0.314229, 0.751934 | 1, 0.0008, 0.0005 
1.08185, 1.40164, -2.51919 | 0.751477, 0.393529 | -0.9896, -0.0289, -0.1407 
1.08185, 1.41472, -2.52472 | 0.750589, 0.392971 | -1, -0, -0.0001 
1.08185, 1.40217, -2.51588 | 0.751656, 0.393358 | -1, -0.0003, 0.0001 
1.08185, 1.41209, -2.52663 | 0.750585, 0.393212 | -0.9852, -0.1389, -0.1008 
1.08185, 1.41593, -2.53886 | 0.749681, 0.393497 | -0.9896, -0.1427, 0.0161 
1.08185, 1.41923, -2.53939 | 0.749509, 0.393319 | -1, -0.0001, -0.0004 
0.989232, 1.41593, -2.53886 | 0.311887, 0.752773 | 0.9897, -0.1422, 0.0173 
0.989227, 1.41209, -2.52663 | 0.312782, 0.753062 | 0.9852, -0.1388, -0.1003 
0.989227, 1.41472, -2.52472 | 0.312786, 0.753302 | 1, 0, 0.0001 
0.989227, 1.41472, -2.52472 | 0.312786, 0.753302 | 1, 0.0001, -0.0001 
0.989232, 1.41924, -2.53939 | 0.311716, 0.752951 | 1, 0.0003, 0.0006 
0.989227, 1.41209, -2.52663 | 0.312782, 0.753062 | 0.9852, -0.1386, -0.1007 
0.989232, 1.40165, -2.51919 | 0.313668, 0.752747 | 0.9897, -0.0275, -0.1406 
0.989232, 1.40217, -2.51588 | 0.313844, 0.752919 | 1, 0.0007, 0.0001 
1.08186, 1.39017, -2.52189 | 0.751799, 0.394339 | -0.9919, 0.0714, -0.105 
1.08186, 1.38825, -2.51926 | 0.75204, 0.394344 | -1, -0.001, -0.0007 
1.08185, 1.40217, -2.51588 | 0.751656, 0.393358 | -1, -0.0005, -0 
1.08186, 1.38825, -2.51926 | 0.75204, 0.394344 | -1, -0.0008, -0.0006 
1.08186, 1.40981, -2.54894 | 0.749329, 0.394295 | -0.9919, -0.0778, 0.1004 
1.08186, 1.41172, -2.55158 | 0.749089, 0.394291 | -1, -0.0007, -0.0005 
1.08185, 1.41593, -2.53886 | 0.749681, 0.393497 | -0.9896, -0.1428, 0.0161 
1.08186, 1.41172, -2.55158 | 0.749089, 0.394291 | -1, -0.0005, -0.0006 
1.08185, 1.41923, -2.53939 | 0.749509, 0.393319 | -1, -0.0002, -0.001 
1.08186, 1.40981, -2.54894 | 0.749329, 0.394295 | -0.9919, -0.0777, 0.1005 
1.08187, 1.3978, -2.55495 | 0.749473, 0.395277 | -1, -0.0006, -0.0001 
1.08186, 1.41172, -2.55158 | 0.749089, 0.394291 | -1, -0.0008, -0.0005 
0.994976, 1.40682, -2.46107 | 0.997609, 0.197486 | 0.0085, -0.8487, -0.5287 
0.994925, 1.39307, -2.44172 | 0.999358, 0.197482 | 0.0023, -0.8162, -0.5777 
1.03553, 1.39307, -2.44172 | 0.999358, 0.200485 | -0, -0.8151, -0.5794 
1.07613, 1.32707, -2.51897 | 0.997254, 0.310656 | -0.0085, 0.7622, 0.6473 
1.07618, 1.31283, -2.49998 | 0.999003, 0.310652 | -0.0023, 0.7989, 0.6015 
1.03558, 1.31283, -2.49997 | 0.999003, 0.313654 | -0, 0.8001, 0.5998 
0.934049, 1.38056, -2.53713 | 0.070805, 0.93171 | 0.7277, 0.2945, -0.6195 
0.930868, 1.38822, -2.54396 | 0.071509, 0.931556 | 0.983, -0.1483, -0.1083 
0.928987, 1.34488, -2.57542 | 0.071442, 0.935515 | 0.9993, 0.0304, 0.0222 
0.932187, 1.339, -2.5673 | 0.070739, 0.935507 | 0.7542, 0.408, -0.5145 
0.934049, 1.39234, -2.55336 | 0.072274, 0.931727 | 0.7277, -0.4978, 0.4719 
0.932187, 1.35079, -2.58352 | 0.072209, 0.935524 | 0.7542, -0.3628, 0.5473 
0.938115, 1.30726, -2.61512 | 0.07222, 0.939503 | 0.7219, -0.1868, 0.6663 
0.935382, 1.29951, -2.60836 | 0.071456, 0.939663 | 0.9422, 0.2711, 0.1968 
0.938115, 1.29548, -2.5989 | 0.070751, 0.939486 | 0.7219, 0.5758, -0.3839 
1.08096, 1.29268, -2.62571 | 0.968355, 0.098996 | 0.112, -0.9744, 0.195 
1.10751, 1.29897, -2.62115 | 0.96893, 0.100959 | 0.4172, -0.8443, 0.3362 
1.11188, 1.29368, -2.62963 | 0.968245, 0.10128 | -0.0705, -0.5394, 0.8391 
1.08242, 1.28662, -2.63476 | 0.967599, 0.099102 | -0.0056, -0.5666, 0.824 
1.11869, 1.31718, -2.60793 | 0.970594, 0.101786 | 0.6943, -0.5616, 0.4501 
1.12598, 1.31443, -2.61457 | 0.970141, 0.102323 | -0.0547, -0.5866, 0.808 
1.13327, 1.30726, -2.61512 | 0.969688, 0.102864 | -0.7219, -0.1868, 0.6663 
1.11626, 1.28397, -2.63203 | 0.967559, 0.101606 | -0.4618, 0.0804, 0.8833 
1.08388, 1.27614, -2.63772 | 0.966843, 0.099212 | -0.1216, 0.1601, 0.9796 
1.13327, 1.29548, -2.5989 | 0.213859, 0.890093 | -0.7219, 0.5757, -0.3839 
1.136, 1.29951, -2.60836 | 0.214591, 0.889916 | -0.9422, 0.271, 0.1968 
1.14239, 1.34488, -2.57542 | 0.214586, 0.894052 | -0.9993, 0.0299, 0.022 
1.13919, 1.339, -2.5673 | 0.213855, 0.894061 | -0.7542, 0.4077, -0.5147 
1.13327, 1.30726, -2.61512 | 0.215341, 0.890087 | -0.7219, -0.1868, 0.6663 
1.13919, 1.35079, -2.58352 | 0.215337, 0.894055 | -0.7542, -0.3631, 0.5471 
1.13728, 1.39234, -2.55336 | 0.215357, 0.897854 | -0.7274, -0.4993, 0.4708 
1.14047, 1.38822, -2.54396 | 0.214607, 0.898015 | -0.9825, -0.1508, -0.1093 
1.13728, 1.38056, -2.53713 | 0.213875, 0.897861 | -0.7274, 0.2931, -0.6205 
0.953257, 1.40117, -2.52216 | 0.943615, 0.571126 | 0.0938, -0.1903, -0.9772 
0.950918, 1.40972, -2.52835 | 0.9429, 0.570953 | 0.1428, -0.8011, -0.5813 
0.938264, 1.40703, -2.5303 | 0.942876, 0.570018 | 0.688, -0.5873, -0.4264 
0.941192, 1.3986, -2.52403 | 0.943593, 0.570234 | 0.5071, -0.0333, -0.8613 
0.953257, 1.41296, -2.53839 | 0.942138, 0.571126 | 0.0938, -0.9881, 0.1217 
0.941192, 1.41038, -2.54026 | 0.942116, 0.570234 | 0.507, -0.8292, 0.2351 
0.938264, 1.40703, -2.5303 | 0.071605, 0.92984 | 0.6879, -0.5873, -0.4264 
0.941192, 1.41038, -2.54026 | 0.072367, 0.930083 | 0.507, -0.8293, 0.235 
0.941192, 1.3986, -2.52403 | 0.070897, 0.930066 | 0.507, -0.0334, -0.8613 
1.12033, 1.38291, -2.56021 | 0.496621, 0.946972 | 0.6934, -0.3126, 0.6492 
1.12213, 1.35085, -2.58348 | 0.49658, 0.944043 | 0.7394, -0.407, 0.5364 
1.11893, 1.34497, -2.57536 | 0.497347, 0.944038 | 0.9999, -0.0134, -0.0097 
1.11715, 1.37524, -2.55338 | 0.497387, 0.946805 | 0.9847, 0.1409, 0.1023 
1.11869, 1.31718, -2.60793 | 0.496591, 0.940967 | 0.6943, -0.5615, 0.4501 
1.11596, 1.31314, -2.59846 | 0.497355, 0.941131 | 0.9693, -0.1991, -0.1445 
1.11869, 1.30539, -2.5917 | 0.49806, 0.940954 | 0.6943, 0.2541, -0.6733 
1.12213, 1.33906, -2.56725 | 0.49805, 0.94403 | 0.7394, 0.3839, -0.5531 
1.12033, 1.37112, -2.54398 | 0.498091, 0.94696 | 0.6934, 0.5205, -0.4983 
1.10545, 1.3988, -2.54867 | 0.2851, 0.751334 | 0.0891, 0.1482, 0.9849 
1.11445, 1.39681, -2.55011 | 0.285082, 0.752001 | 0.4086, -0.1203, 0.9047 
1.11153, 1.38838, -2.54384 | 0.284321, 0.751784 | 0.6848, 0.5897, 0.4282 
1.10311, 1.39025, -2.54248 | 0.284338, 0.751162 | 0.1163, 0.8038, 0.5834 
1.11445, 1.39681, -2.55011 | 0.496691, 0.948245 | 0.4085, -0.1203, 0.9048 
1.11153, 1.38838, -2.54384 | 0.497454, 0.948007 | 0.6848, 0.5897, 0.4281 
1.11445, 1.38503, -2.53388 | 0.49816, 0.948232 | 0.4086, 0.823, -0.3946 
1.11445, 1.38503, -2.53388 | 0.283605, 0.752001 | 0.4085, 0.823, -0.3946 
1.10545, 1.38702, -2.53244 | 0.283623, 0.751334 | 0.0891, 0.9824, -0.1641 
0.952694, 1.30539, -2.5917 | 0.593434, 0.992442 | -0.6943, 0.254, -0.6733 
0.949251, 1.33906, -2.56725 | 0.596508, 0.992661 | -0.7394, 0.3836, -0.5533 
0.940718, 1.33682, -2.56423 | 0.596493, 0.993218 | 0.0176, 0.5897, -0.8074 
0.945405, 1.29823, -2.59225 | 0.592969, 0.992914 | 0.0548, 0.5866, -0.808 
0.951016, 1.37112, -2.54398 | 0.599436, 0.992505 | -0.6941, 0.5189, -0.499 
0.942533, 1.37363, -2.53751 | 0.599854, 0.993054 | 0.0416, 0.5936, -0.8037 
0.934049, 1.38056, -2.53713 | 0.600297, 0.993722 | 0.7277, 0.2945, -0.6195 
0.932187, 1.339, -2.5673 | 0.596503, 0.993894 | 0.7542, 0.408, -0.5144 
0.938115, 1.29548, -2.5989 | 0.592529, 0.993504 | 0.7218, 0.5758, -0.384 
0.951016, 1.38291, -2.56021 | 0.976602, 0.089388 | -0.6941, -0.3137, 0.6479 
0.949251, 1.35085, -2.58348 | 0.973671, 0.089257 | -0.7394, -0.4072, 0.5361 
0.940718, 1.35303, -2.58655 | 0.973669, 0.088624 | 0.0176, -0.585, 0.8108 
0.942533, 1.38983, -2.55982 | 0.977033, 0.088758 | 0.0416, -0.5803, 0.8133 
0.952694, 1.31718, -2.60793 | 0.970594, 0.089512 | -0.6943, -0.5616, 0.45 
0.945405, 1.31443, -2.61457 | 0.970141, 0.08897 | 0.0547, -0.5866, 0.808 
0.938115, 1.30726, -2.61512 | 0.969688, 0.088434 | 0.7219, -0.1868, 0.6663 
0.932187, 1.35079, -2.58352 | 0.973666, 0.087995 | 0.7542, -0.3628, 0.5473 
0.934049, 1.39234, -2.55336 | 0.977464, 0.088133 | 0.7277, -0.4978, 0.4719 
1.08388, 1.26436, -2.62149 | 0.528877, 0.897855 | -0.1216, 0.981, -0.1511 
1.08443, 1.26715, -2.63186 | 0.529588, 0.897895 | -0.1694, 0.7975, 0.5791 
1.1179, 1.27527, -2.62596 | 0.52966, 0.90037 | -0.6009, 0.6468, 0.4696 
1.11626, 1.27219, -2.6158 | 0.528946, 0.900249 | -0.4618, 0.8648, -0.1971 
1.08388, 1.27614, -2.63772 | 0.530354, 0.897855 | -0.1216, 0.16, 0.9796 
1.11626, 1.28397, -2.63203 | 0.530423, 0.900249 | -0.4618, 0.0804, 0.8833 
1.1179, 1.27527, -2.62596 | 0.214639, 0.887727 | -0.6009, 0.6468, 0.4696 
1.11626, 1.28397, -2.63203 | 0.215386, 0.887983 | -0.4618, 0.0804, 0.8833 
1.11626, 1.27219, -2.6158 | 0.213904, 0.88799 | -0.4618, 0.8648, -0.1971 
0.963878, 1.29897, -2.62115 | 0.96893, 0.090339 | -0.4172, -0.8443, 0.3362 
0.959504, 1.29368, -2.62963 | 0.968244, 0.090013 | 0.0705, -0.5395, 0.839 
0.990422, 1.29268, -2.62571 | 0.968355, 0.092301 | -0.112, -0.9744, 0.195 
0.988963, 1.28662, -2.63476 | 0.967599, 0.092191 | 0.0055, -0.5665, 0.824 
0.987505, 1.27614, -2.63772 | 0.966843, 0.092086 | 0.1216, 0.1601, 0.9796 
0.955131, 1.28397, -2.63203 | 0.967559, 0.089692 | 0.4618, 0.0804, 0.8833 
1.12033, 1.37112, -2.54398 | 0.599436, 0.980275 | 0.6934, 0.5205, -0.4983 
1.12213, 1.33906, -2.56725 | 0.596509, 0.980173 | 0.7394, 0.384, -0.5531 
1.13066, 1.33682, -2.56423 | 0.596493, 0.979498 | -0.0178, 0.5897, -0.8074 
1.12881, 1.37363, -2.53751 | 0.599854, 0.979599 | -0.042, 0.5935, -0.8037 
1.11869, 1.30539, -2.5917 | 0.593434, 0.980452 | 0.6943, 0.254, -0.6733 
1.12598, 1.29823, -2.59225 | 0.592969, 0.97987 | -0.0547, 0.5866, -0.808 
1.13327, 1.29548, -2.5989 | 0.592529, 0.979408 | -0.7219, 0.5757, -0.3839 
1.13919, 1.339, -2.5673 | 0.596503, 0.978941 | -0.7543, 0.4077, -0.5146 
1.13728, 1.38056, -2.53713 | 0.600298, 0.979041 | -0.7274, 0.2931, -0.6205 
1.12213, 1.35085, -2.58348 | 0.973672, 0.10204 | 0.7394, -0.407, 0.5363 
1.13066, 1.35303, -2.58655 | 0.973669, 0.102669 | -0.0178, -0.585, 0.8108 
1.12033, 1.38291, -2.56021 | 0.976602, 0.101907 | 0.6934, -0.3126, 0.6492 
1.12881, 1.38983, -2.55982 | 0.977033, 0.102532 | -0.042, -0.5804, 0.8133 
1.13728, 1.39234, -2.55336 | 0.977464, 0.103161 | -0.7274, -0.4992, 0.4708 
1.13919, 1.35079, -2.58352 | 0.973666, 0.103302 | -0.7543, -0.363, 0.547 
1.10545, 1.38702, -2.53244 | 0.600887, 0.981335 | 0.0891, 0.9824, -0.1641 
1.11445, 1.38503, -2.53388 | 0.600706, 0.980687 | 0.4085, 0.823, -0.3946 
1.12225, 1.3896, -2.52591 | 0.601312, 0.980058 | -0.0681, 0.528, -0.8465 
1.11166, 1.39189, -2.52426 | 0.601521, 0.980821 | 0.0094, 0.5555, -0.8315 
1.13004, 1.3986, -2.52403 | 0.601944, 0.979548 | -0.5054, -0.0348, -0.8622 
1.11787, 1.40117, -2.52216 | 0.60218, 0.980425 | -0.0931, -0.1905, -0.9773 
0.965729, 1.3988, -2.54867 | 0.978054, 0.090475 | -0.0898, 0.1477, 0.9849 
0.956806, 1.39681, -2.55011 | 0.977873, 0.089816 | -0.4098, -0.122, 0.904 
0.948999, 1.40581, -2.54823 | 0.978493, 0.089236 | 0.0684, -0.6413, 0.7642 
0.959493, 1.40809, -2.54657 | 0.978702, 0.090012 | -0.0094, -0.6187, 0.7856 
