Vertex data: 
POSITION - TEXTURE - NORMALS
1419.7, 105.118, -1663.85 | 0, 0 | 0.1412, -0.3456, -0.9277 
1416.07, 106.693, -1665.03 | 0, 0 | 0.0581, -0.6402, -0.766 
1416.07, 102.787, -1664.68 | 0, 0 | 0.2526, 0.342, -0.9051 
1419.7, 102.756, -1663.7 | 0, 0 | 0.2532, 0.2589, -0.9321 
1419.7, 107.087, -1666.19 | 0, 0 | -0.1477, -0.9189, -0.3659 
1416.07, 107.874, -1667.39 | 0, 0 | -0.1515, -0.9722, -0.1787 
1419.7, 107.087, -1676.44 | 0, 0 | -0.1814, -0.8379, 0.5148 
1416.07, 107.874, -1676.44 | 0, 0 | -0.2119, -0.878, 0.4292 
1419.7, 105.118, -1677.63 | 0, 0 | -0.0583, -0.229, 0.9717 
1416.07, 106.299, -1677.63 | 0, 0 | -0.0791, -0.2435, 0.9667 
1419.7, 102.756, -1677.63 | 0, 0 | -0, -0, 1 
1406.02, 106.299, -1677.63 | 0, 0 | 0.0791, -0.2435, 0.9667 
1423.33, 78.9308, -1656.17 | 0, 0 | -0, 0.5212, 0.8534 
1399.06, 72.8346, -1652.42 | 0, 0 | -0, 0.5212, 0.8534 
1398.75, 78.9308, -1656.17 | 0, 0 | -0, 0.5212, 0.8534 
1418.91, 101.181, -1669.74 | 0, 0 | -0, 0.5212, 0.8534 
1423.02, 72.8346, -1634.71 | 0, 0 | -0, 1, 0 
1411.04, 72.8346, -1634.71 | 0, 0 | -0, 1, 0 
1399.06, 72.8346, -1634.71 | 0, 0 | -0, 1, 0 
1399.06, 72.8346, -1652.42 | 0, 0 | -0, 1, 0 
1423.02, 72.8346, -1652.42 | 0, 0 | -0, 1, 0 
1423.02, 72.8346, -1634.71 | 0, 0 | 0.0357, 0.0346, -0.9988 
1423.39, 79.9511, -1634.02 | 0, 0 | 0.0357, 0.0346, -0.9988 
1416.07, 79.316, -1634.73 | 0, 0 | 0.0357, 0.0346, -0.9988 
1411.04, 72.8346, -1634.71 | 0, 0 | 0.0357, 0.0346, -0.9988 
1423.41, 80.4401, -1634.67 | 0, 0 | 0.1146, -0.9291, -0.3517 
1416.07, 79.805, -1635.38 | 0, 0 | 0.1133, -0.9357, -0.3342 
1416.07, 79.316, -1634.73 | 0, 0 | 0.1264, -0.7936, -0.5951 
1423.39, 79.9511, -1634.02 | 0, 0 | 0.1266, -0.7951, -0.5932 
1423.41, 80.6031, -1637.17 | 0, 0 | 0.0751, -0.9912, 0.1093 
1416.07, 79.968, -1637.88 | 0, 0 | 0.0961, -0.9831, 0.156 
1423.29, 77.9103, -1645.51 | 0, 0 | 0.1248, -0.9785, 0.164 
1416.07, 76.8711, -1645.16 | 0, 0 | 0.1488, -0.9706, 0.1891 
1423.29, 77.9918, -1649.03 | 0, 0 | 0.1368, -0.9784, -0.1549 
1416.07, 76.9526, -1648.86 | 0, 0 | 0.1117, -0.9743, -0.1956 
1423.34, 78.9583, -1652.34 | 0, 0 | 0.1037, -0.9399, -0.3252 
1416.07, 78.827, -1652.99 | 0, 0 | 0.0533, -0.9093, -0.4128 
1423.23, 79.9017, -1650.76 | 0, 0 | 0.0597, 0.8106, -0.5825 
1416.07, 79.8865, -1651.79 | 0, 0 | 0.0597, 0.8106, -0.5825 
1416.07, 78.827, -1652.99 | 0, 0 | 0.0597, 0.8106, -0.5825 
1423.34, 78.9583, -1652.34 | 0, 0 | 0.0597, 0.8106, -0.5825 
1422.73, 84.8521, -1652.48 | 0, 0 | 0.1539, -0.4206, -0.8941 
1416.07, 84.6948, -1653.64 | 0, 0 | 0.16, -0.4382, -0.8845 
1416.07, 79.8865, -1651.79 | 0, 0 | 0.1551, -0.3366, -0.9288 
1423.23, 79.9017, -1650.76 | 0, 0 | 0.1364, -0.3129, -0.9399 
1422.39, 87.8066, -1654.4 | 0, 0 | 0.1538, -0.5867, -0.7951 
1416.07, 87.1397, -1655.1 | 0, 0 | 0.1494, -0.5822, -0.7992 
1421.8, 93.8815, -1659.87 | 0, 0 | 0.1555, -0.5512, -0.8198 
1416.07, 93.5779, -1660.75 | 0, 0 | 0.1579, -0.5414, -0.8258 
1421.28, 99.6063, -1662.67 | 0, 0 | 0.1593, -0.5007, -0.8509 
1416.16, 99.6063, -1663.66 | 0, 0 | 0.1666, -0.6281, -0.7601 
1420.1, 100.394, -1663.64 | 0, 0 | 0.1417, -0.6909, -0.7089 
1416.07, 100.424, -1664.74 | 0, 0 | 0.1595, -0.7825, -0.6019 
1418.91, 101.181, -1665.41 | 0, 0 | 0.1244, -0.8762, -0.4655 
1416.07, 101.181, -1666.19 | 0, 0 | 0.1244, -0.8762, -0.4655 
1416.07, 100.424, -1664.74 | 0, 0 | 0.1244, -0.8762, -0.4655 
1420.1, 100.394, -1663.64 | 0, 0 | 0.1244, -0.8762, -0.4655 
1416.07, 101.181, -1666.19 | 0, 0 | 0.1977, 0.6724, -0.7133 
1418.91, 101.181, -1665.41 | 0, 0 | 0.197, 0.6732, -0.7127 
